controller,k,t,reference,y,u,predicted_y0,stage_qp_cost,solve_time_sec,qp_status
linear,94,1.8800000000000001,0.6,0.5990834415533042,0.5990924948693886,0.599374168137758,0.27697424247046704,0.03539504201035015,optimal
linear,95,1.9000000000000001,0.6,0.5990833083947111,0.5990914771839241,0.5993740932853874,0.27697382606461357,0.03536362497834489,optimal
linear,96,1.92,0.6,0.5990832144581844,0.5990905286061728,0.5993739308436843,0.27697343349383363,0.035745375003898516,optimal
linear,97,1.94,0.6,0.5990831547212859,0.5990893386873059,0.5993738929080485,0.27697310631066685,0.03827608400024474,optimal
linear,98,1.96,0.6,0.5990831238828441,0.5990880679316906,0.5993738746613902,0.27697282671246687,0.047621750010875985,optimal
linear,99,1.98,0.6,0.5990831161069432,0.5990869783015214,0.5993738286183636,0.27697259769332055,0.036432333989068866,optimal
linear,100,2.0,0.6,0.5990831258960742,0.5990857074756524,0.5993739070816888,0.27697243406290645,0.03615599998738617,optimal
linear,101,2.02,0.6,0.5990831478945657,0.5990847518591871,0.5993739151850351,0.27697233590053266,0.03614354197634384,optimal
linear,102,2.04,0.6,0.5990831771780245,0.5990839776738622,0.5993739282115792,0.2769722496347363,0.03612624999368563,optimal
linear,103,2.06,0.6,0.5990832099581952,0.5990835619923462,0.5993739282096135,0.27697224963438216,0.036019999999552965,optimal
linear,104,2.08,0.6,0.5990832436421744,0.5990829933287698,0.5993740256412635,0.2769722495966693,0.03666954199434258,optimal
linear,105,2.1,0.6,0.5990832761312986,0.5990827123705523,0.5993740354846148,0.276972273388569,0.05203220798284747,optimal
linear,106,2.12,0.6,0.5990833056836768,0.5990825980757931,0.599374050251094,0.2769723090766812,0.03647245798492804,optimal
linear,107,2.14,0.6,0.599083331526154,0.5990825793605018,0.5993740674791953,0.27697235071288867,0.03601275000255555,optimal
linear,108,2.16,0.6,0.5990833534434676,0.5990826058712232,0.5993740822463404,0.27697238640109456,0.035356667009182274,optimal
linear,109,2.18,0.6,0.5990833715194839,0.5990826688515358,0.5993741019359979,0.27697243398539817,0.03541645800578408,optimal
linear,110,2.2,0.6,0.5990833860098367,0.5990827331336407,0.5993741142421517,0.2769724637256019,0.03548324998700991,optimal
linear,111,2.22,0.6,0.5990833972477588,0.5990827981147135,0.5993741265483088,0.27697249346581826,0.03542654198827222,optimal
linear,112,2.24,0.6,0.5990834055700788,0.5990828695643287,0.5993741413156665,0.2769725291540941,0.03552833298454061,optimal
linear,113,2.2600000000000002,0.6,0.5990834113259691,0.5990829323005901,0.599374151160643,0.27697255294628637,0.050891916995169595,optimal
linear,114,2.2800000000000002,0.6,0.599083414856373,0.5990829903584098,0.5993741610055973,0.27697257673848663,0.03602383300312795,optimal
linear,115,2.3000000000000003,0.6,0.5990834164713947,0.5990830459042458,0.5993741708505399,0.27697260053069467,0.03542550001293421,optimal
linear,116,2.32,0.6,0.5990834164624232,0.5990830818215881,0.5993741733118796,0.2769726064787467,0.03536366700427607,optimal
linear,117,2.34,0.6,0.5990834150721712,0.5990833012625485,0.5993741356710126,0.27697263326324545,0.03541662500356324,optimal
linear,118,2.36,0.6,0.5990834128631173,0.5990832433035106,0.599374183157323,0.2769726302709668,0.03548679099185392,optimal
linear,119,2.38,0.6,0.5990834101888856,0.5990832182769468,0.5993741856183747,0.2769726362190207,0.035361707996344194,optimal
linear,120,2.4,0.6,0.5990834069159873,0.5990831987462453,0.5993741831571124,0.2769726302709646,0.03615237501799129,optimal
linear,121,2.42,0.6,0.5990834029934704,0.5990835702918231,0.59937410049155,0.2769726659961326,0.03914837498450652,optimal
linear,122,2.44,0.6,0.5990833991571975,0.5990837575984278,0.5993740955700959,0.27697265409996275,0.04944025000440888,optimal
linear,123,2.46,0.6,0.5990833965116968,0.5990838216090458,0.5993740808033788,0.2769726184116974,0.03653599999961443,optimal
linear,124,2.48,0.6,0.5990833955115866,0.5990836680086655,0.5993741233668971,0.2769726035229922,0.03637950000120327,optimal
linear,125,2.5,0.6,0.5990833959178417,0.5990835733498785,0.5993741184441095,0.27697259162689003,0.03640374998212792,optimal
linear,126,2.52,0.6,0.5990833971879388,0.599083516431711,0.5993741159826704,0.2769725856788416,0.03686858300352469,optimal
linear,127,2.54,0.6,0.5990833989864491,0.5990832918080734,0.5993741560846829,0.2769725648424244,0.03629029099829495,optimal
linear,128,2.56,0.6,0.5990834007316255,0.5990831772946763,0.5993741585453113,0.27697257079044385,0.03650666700559668,optimal
linear,129,2.58,0.6,0.5990834017554912,0.5990833159652112,0.5993741209040624,0.27697259757494364,0.038780625007348135,optimal
linear,130,2.6,0.6,0.5990834021329695,0.5990832146382977,0.5993741683901678,0.2769725945826483,0.04730387500603683,optimal
linear,131,2.62,0.6,0.5990834019579784,0.5990831724195678,0.5993741733123081,0.2769726064787473,0.035813833004795015,optimal
linear,132,2.64,0.6,0.5990834009723075,0.5990831680309032,0.5993741806957972,0.2769726243229087,0.035938165994593874,optimal
