controller,k,t,reference,y,u,x1_simulator_only,x2_simulator_only,predicted_y0,mpc_cost,solve_time_sec,qp_status
resdynet_ltv,55,220.0,4.0,3.1942684719751804,6.5,7.994613255510425,5.678868057951279,1.6857051903132052,920.0851919063485,0.0516925839765463,optimal
resdynet_ltv,56,224.0,4.0,5.678868057951279,6.5,9.812491116616588,8.350029147495361,2.3659350741361282,1205.1411840767562,0.07710441699600779,optimal
resdynet_ltv,57,228.0,4.0,8.350029147495361,6.5,11.131071371800786,11.045638380109745,3.908617044158577,632.2258336125684,0.05028612501337193,optimal
resdynet_ltv,58,232.0,4.0,11.045638380109745,3.0841748364615755,8.579536075953984,13.251604587596065,5.946093840665003,750.75299965984,0.04898529199999757,optimal
resdynet_ltv,59,236.0,4.0,13.251604587596065,0.3999999999999999,4.109313489167274,14.232430634678039,7.835291552689638,955.4544674456671,0.048405125009594485,optimal
resdynet_ltv,60,240.0,4.0,14.232430634678039,0.3999999999999999,1.3949259636400662,13.782245858693987,9.579948752464706,1155.763695368482,0.048262374999467283,optimal
resdynet_ltv,61,244.0,4.0,13.782245858693987,0.3999999999999999,0.24474528509841423,12.195064401726823,10.804381553521353,2022.9100581134144,0.04938587502692826,optimal
resdynet_ltv,62,248.0,4.0,12.195064401726823,0.3999999999999999,0.06295430776549689,10.055953877470287,11.175127328677934,3970.613398784601,0.04802450002171099,optimal
resdynet_ltv,63,252.0,4.0,10.055953877470287,0.3999999999999999,0.05768491700558703,8.041736739439688,11.220971365706726,5219.014934001245,0.048776499985251576,optimal
resdynet_ltv,64,256.0,4.0,8.041736739439688,0.3999999999999999,0.05760131712100151,6.288960511572155,10.154846729873839,5251.220713228316,0.07618149998597801,optimal
resdynet_ltv,65,260.0,4.0,6.288960511572155,0.3999999999999999,0.05760002042215574,4.794716433051372,8.784783488642034,4616.728542333885,0.04938991699600592,optimal
resdynet_ltv,66,264.0,4.0,4.794716433051372,0.3999999999999999,0.057600000316646756,3.550118973927302,6.815444434761767,2124.8971812126324,0.05285654199542478,optimal
resdynet_ltv,67,268.0,4.0,3.550118973927302,0.3999999999999999,0.0576000000049096,2.5437175399951717,4.869635973868182,1067.760309101998,0.05016945899114944,optimal
resdynet_ltv,68,272.0,4.0,2.5437175399951717,0.3999999999999999,0.05760000000007609,1.7606214494313106,3.5344729459881847,910.5561054679603,0.04899683297844604,optimal
resdynet_ltv,69,276.0,4.0,1.7606214494313106,0.3999999999999999,0.05760000000000115,1.1812545495200968,2.395536421927952,801.6583050845238,0.04900316699058749,optimal
resdynet_ltv,70,280.0,4.0,1.1812545495200968,0.3999999999999999,0.057599999999999985,0.779967301759984,1.6836638054625417,759.1272107969962,0.06264929202734493,optimal
resdynet_ltv,71,284.0,4.0,0.779967301759984,2.017138864326255,0.9600692344885033,1.2222622361395075,1.5027357832525992,721.0067841133632,0.05219041701639071,optimal
resdynet_ltv,72,288.0,4.0,1.2222622361395075,5.230450488879423,4.027387487421284,2.7030620120845423,1.2480289825475372,665.8908714834374,0.07790375000331551,optimal
resdynet_ltv,73,292.0,4.0,2.7030620120845423,6.5,7.082848678436286,4.94934591247405,1.3778893434303687,696.4063486690349,0.050536958005977795,optimal
resdynet_ltv,74,296.0,4.0,4.94934591247405,6.5,9.16498637492678,7.531039604378593,2.0722717577748457,610.383070553388,0.05015783300041221,optimal
resdynet_ltv,75,300.0,4.0,7.531039604378593,6.5,10.657534251352539,10.197630392327017,3.069621485101936,560.2135444411921,0.04853895801352337,optimal
resdynet_ltv,76,304.0,4.0,10.197630392327017,3.458994016947515,8.619684036834258,12.449751394734237,5.139286932059954,644.986571592629,0.048451875016326085,optimal
resdynet_ltv,77,308.0,4.0,12.449751394734237,0.3999999999999999,4.136010598579309,13.523523421521148,7.121662797362659,842.3034541926734,0.048131999996257946,optimal
resdynet_ltv,78,312.0,4.0,13.523523421521148,0.3999999999999999,1.4090025591819213,13.155317289316082,8.88681609716571,1078.3735893414669,0.049261959007708356,optimal
resdynet_ltv,79,316.0,4.0,13.155317289316082,0.3999999999999999,0.24857205671515764,11.642279895935191,10.511809813562884,1609.4457868884701,0.04988583398517221,optimal
